               epoch;      train/box_loss;      train/obj_loss;      train/cls_loss;   metrics/precision;      metrics/recall;     metrics/mAP_0.5;metrics/mAP_0.5:0.95;        val/box_loss;        val/obj_loss;        val/cls_loss;               x/lr0;               x/lr1;               x/lr2
0;0.07387;0.037676;0;0.25104;0.39007;0.21482;0.074423;0.032166;0.011358;0;0.070345;0.003295;0.003295
1;0.048702;0.019588;0;0.71886;0.5461;0.64255;0.21564;0.033533;0.0056713;0;0.040315;0.0065987;0.0065987
2;0.042219;0.015082;0;0.76422;0.51773;0.58542;0.26728;0.027408;0.0057418;0;0.010256;0.0098725;0.0098725
3;0.037305;0.013731;0;0.53476;0.82334;0.64318;0.31375;0.021638;0.0046127;0;0.0098657;0.0098657;0.0098657
4;0.033628;0.011586;0;0.81144;0.78014;0.8548;0.49769;0.020142;0.0045897;0;0.0098657;0.0098657;0.0098657
5;0.03172;0.010339;0;0.71623;0.90071;0.83306;0.5615;0.018655;0.0035899;0;0.0098209;0.0098209;0.0098209
6;0.030647;0.0098101;0;0.91532;0.91993;0.96113;0.55431;0.017306;0.0036349;0;0.0097761;0.0097761;0.0097761
7;0.02814;0.0087027;0;0.97841;0.89362;0.98029;0.5209;0.01777;0.003139;0;0.0097313;0.0097313;0.0097313
8;0.027215;0.0083952;0;0.9369;0.90071;0.96369;0.75348;0.013199;0.0031974;0;0.0096866;0.0096866;0.0096866
9;0.027517;0.0088418;0;0.95846;0.8183;0.91959;0.6366;0.016952;0.0045347;0;0.0096418;0.0096418;0.0096418
10;0.025312;0.0085971;0;0.98744;0.94326;0.98461;0.72087;0.012965;0.0029184;0;0.009597;0.009597;0.009597
11;0.023963;0.0074264;0;0.95143;0.97254;0.98966;0.79848;0.011594;0.0027944;0;0.0095522;0.0095522;0.0095522
12;0.02315;0.0073679;0;0.97731;0.92199;0.98709;0.79647;0.01389;0.0025369;0;0.0095075;0.0095075;0.0095075
13;0.023406;0.0077179;0;0.94882;0.97163;0.98832;0.77462;0.011672;0.0030626;0;0.0094627;0.0094627;0.0094627
14;0.023064;0.0077627;0;0.94183;0.95035;0.98691;0.78852;0.011794;0.0028139;0;0.0094179;0.0094179;0.0094179
15;0.023924;0.0080452;0;0.97743;0.92162;0.96976;0.70247;0.013612;0.0030115;0;0.0093731;0.0093731;0.0093731
16;0.021089;0.0073265;0;0.95733;0.91489;0.9778;0.77374;0.01231;0.0028766;0;0.0093284;0.0093284;0.0093284
17;0.022698;0.0075958;0;0.98139;0.92199;0.98747;0.78592;0.011396;0.0024927;0;0.0092836;0.0092836;0.0092836
18;0.020901;0.0072841;0;0.96754;0.95745;0.99185;0.8328;0.010847;0.0024284;0;0.0092388;0.0092388;0.0092388
19;0.021105;0.0065874;0;0.98885;0.87943;0.97676;0.74401;0.014291;0.002781;0;0.009194;0.009194;0.009194
20;0.020902;0.0066523;0;0.99256;0.93617;0.99192;0.81052;0.011824;0.0024015;0;0.0091493;0.0091493;0.0091493
21;0.021034;0.0065344;0;0.97779;0.90071;0.97072;0.73389;0.011575;0.0032419;0;0.0091045;0.0091045;0.0091045
22;0.020325;0.0063358;0;0.95107;0.96488;0.98674;0.76664;0.013188;0.0027148;0;0.0090597;0.0090597;0.0090597
23;0.020463;0.0062348;0;0.97746;0.92271;0.9828;0.78962;0.011078;0.0025406;0;0.0090149;0.0090149;0.0090149
24;0.020716;0.0065905;0;0.96672;0.95745;0.98871;0.83954;0.010412;0.0022818;0;0.0089701;0.0089701;0.0089701
25;0.018253;0.0067329;0;0.98083;0.9078;0.97013;0.75265;0.011956;0.0038778;0;0.0089254;0.0089254;0.0089254
26;0.019042;0.00609;0;0.92746;1;0.99012;0.82926;0.009663;0.0023571;0;0.0088806;0.0088806;0.0088806
27;0.01923;0.0067197;0;0.98518;0.94316;0.9868;0.82785;0.011313;0.0024523;0;0.0088358;0.0088358;0.0088358
28;0.018223;0.0064332;0;0.96526;0.98537;0.99221;0.76978;0.0104;0.0024168;0;0.008791;0.008791;0.008791
29;0.017444;0.0058579;0;0.95121;0.96782;0.99164;0.80354;0.0094768;0.0021171;0;0.0087463;0.0087463;0.0087463
30;0.018591;0.006114;0;0.96997;0.93617;0.98704;0.82761;0.0098029;0.0024479;0;0.0087015;0.0087015;0.0087015
31;0.018272;0.0055187;0;0.98121;0.94326;0.9918;0.82289;0.0093012;0.0022826;0;0.0086567;0.0086567;0.0086567
32;0.017503;0.0057944;0;0.97213;0.97163;0.9932;0.79805;0.010613;0.0024945;0;0.0086119;0.0086119;0.0086119
33;0.017051;0.0062826;0;0.99211;0.89362;0.97999;0.80634;0.0098008;0.0025832;0;0.0085672;0.0085672;0.0085672
34;0.01831;0.006358;0;0.96418;0.95463;0.99195;0.82144;0.008543;0.0026703;0;0.0085224;0.0085224;0.0085224
35;0.01716;0.0056264;0;0.94225;0.98582;0.98902;0.81966;0.009495;0.0025155;0;0.0084776;0.0084776;0.0084776
